index,smiles,AlogP,Effective
206,COc1cccc2c1CCC1(CCN(c3nnc(-c4nnn(CC(=O)O)n4)s3)CC1)O2,1.65,1
207,Cc1cc(C(=O)N2CCN(c3ccc(C(=O)NCCC4CC4)nn3)CC2)c(C(F)(F)F)o1,2.89,1
208,O=C(O)Cn1nnc(-c2cnc(N3CCC4(CCc5ccccc54)CC3)s2)n1,2.37,1
209,O=C(CO)Nc1ccc2ncn(Cc3ccc(Cl)c(Cl)c3)c(=O)c2c1,2.68,1
210,COc1ccc(C(=O)Nc2ncc(Cc3cccc(F)c3)s2)cc1OCCO,3.51,0
211,O=C(NC[C@@H](O)c1ccccc1)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,2.92,1
212,O=C(NCC(O)c1ccccc1)c1ccc(N2CCC(C(=O)c3ccccc3OC(F)(F)F)CC2)nn1,3.94,0
213,O=C(NCC(O)c1ccccc1)c1ccc(N2CCC(C(=O)c3ccccc3)CC2)nn1,3.04,0
214,Cc1ccccc1C(=O)C1CCN(c2ccc(C(=O)NCC(O)c3ccncc3)nn2)CC1,2.74,1
215,O=C(NCc1ccccn1)c1nccnc1NCC(=O)N1CCC(Oc2ccccc2Cl)CC1,2.94,1
216,O=C(NCCO)c1nccnc1NCC(=O)N1CCC(Oc2ccccc2Cl)CC1,1.33,1
217,CCCNC(=O)c1ncccc1NCC(=O)N1CCC(Oc2ccccc2C(F)(F)F)CC1,3.72,0
218,O=C(NCc1ccccc1)c1nccnc1NCC(=O)N1CCC(Oc2ccccc2Cl)CC1,3.54,0
219,NC(=O)c1nccnc1NCC(=O)N1CCC(Oc2ccccc2Cl)CC1,1.71,1
220,CNC(=O)c1cccnc1NCC(=O)N1CCC(Oc2ccccc2C(F)(F)F)CC1,2.94,1
221,Cc1nc(N2CCN(C3CCCCO3)C2=O)sc1C(=O)NCc1cccnc1,2.55,1
222,OC(c1ccc2[nH]c(-c3ccc(OCc4ccccc4)cc3)nc2c1)c1ccccc1C(F)(F)F,6.91,0
223,Cc1nc(-c2cncc(Cc3ccccc3)n2)sc1C(=O)NCc1ccccc1,4.43,0
224,CNc1ccc(-c2ccc(N3CCC(n4ccc5ccc(F)cc54)CC3)nn2)cn1,4.52,0
225,Cn1ccnc(N2CCC(Oc3ccccc3C(F)(F)F)CC2)c1=O,2.85,1
226,Cc1nc(N2CCN(Cc3ccc(F)cc3)C2=O)sc1C(=O)NCc1ncco1,2.95,1
227,Cc1nc(N2CCN(Cc3ccccc3)C2=O)sc1C(=O)NCc1ccc(F)cc1,3.96,0
228,Cc1nc(-c2cc(Cc3ccccc3)no2)sc1C(=O)NCc1ccccc1,4.63,0
229,Cc1nc(-n2ccc(NC(=O)c3ccccc3)cc2=O)sc1C(=O)NCc1ccccc1,3.78,0
230,Cc1nc(-n2ccc(NCc3ccccc3)cc2=O)sc1C(=O)NCc1ccccc1,4.14,0
231,Cc1nc(-n2ccc(O)cc2=O)sc1C(=O)NCCc1ccc(F)cc1,2.42,1
232,Cn1cc(-c2ccc(N3CCC(N4CCc5cc(Cl)ccc54)CC3)nn2)cn1,3.56,0
233,OCCn1cc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,2.5,1
234,OCc1ccc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cc1,3.81,0
